NOMBRE,CANAL ,AÑO,EPISODIOS,AUDIENCIA,DIRECTORES,REPARTO PRINCIPAL ,
La chúcara,TVN,2014,190,SIN INFO,Matías Stagnaro,"Antonia Santa María, Felipe Braun y Bárbara Ruiz-Tagle",
Vuelve temprano,TVN,2014,118,SIN INFO,Víctor Huerta,"Amparo Noguera, Francisco Reyes y Matías Assler",
Soltera otra vez 2,T13,2014,80,"18,9 pts de audiencia",Herval Abreu,"Paz Bascuñan, Pablo Macaya, Cristián Arriagada",
Graduados,CHV,2014,212,10 pts de audiencia,Mauricio Bustos ,Fernanda Urrejola y Marcial Tagle ,
Las Dos Carolinas,CHV,2014,136,8 pts de audiencia,Vicente Sabatini ,Claudia Di Girolamo y Francisca Lewin ,
Secretos en el jardín,T13,2014,101,"11,6 pts de audiencia",Rodrigo Velásquez,"Francisco Pérez-Bannen, Blanca Lewin, Mario Horton y Daniela Ramírez",
Caleta del sol,TVN,2014,67,Peor estreno de teleserie,Claudio López de Lérida,"Carolina Arregui, Francisco Melo, Mayte Rodríguez y Jorge Arecheta",
Pituca sin lucas,MEGA,2014,153,"25,2 puntos de audiencia",Patricio González ,Paola Volpato y Álvaro Rudoplhy,
Mamá mechona,T13, 2014,117,"11,3 pts de audiencia.",Germán Barriga,"Sigrid Alegría, Álvaro Espinoza, Carolina Varleta y Paulo Brunetti",
El amor lo manejo yo,TVN, 2014,149,"18,3 pts de audiencia",Christian Maringer,"Jorge Zabaleta, María Elena Swett, Diego Muñoz y María Gracia Omegna",
Volver a amar,TVN, 2014,140,"11,2 pts de audiencia",Felipe Arratia,Adela Secall y César Sepúlveda,
Esa no soy yo,TVN, 2015,162,"5,7 pts de audiencia",Christian Maringer,"Camila Hirane, Matías Oviedo y Cristián Carvajal",
Eres mi tesoro,MEGA, 2015,171,"14,1 pts de audiencia",Nicolás Alemparte,María José Bello y Álvaro Morales,
Papá a la deriva,MEGA, 2015,183,Peak de 35 pts de audiencia. ,Felipe Arratia,Gonzalo Valenzuela y María Gracia Omegna,
Chipe libre,T13,2015,97,"9,7 pts de audiencia",Herval Abreu,"Fernanda Urrejola, Nicolás Poblete, Mario Horton y Juanita Ringeling",
