personaje;genero;roles;teleserie;genero-teleserie;canal;año;tipo-de-accion;estado-civil;fuerza-actua
Ángel Mercader;Masculino;Protagonista;Machos;Drama;T13;2003;Famoso médico que trata de educar a sus hijos como machos;Casado;Poderoso
Matilde del Solar;Femenino;Protagonista;Los pincheira;Drama;TVN;2004;Esposa de Martin que sufre mucho por su infeliz matrimonio y es secuestrada para conseguir dinero;Casado;Perjudicada
Miguel Molina Linares;Masculino;Protagonista;Los pincheira;Drama;TVN;2004;Hijo mayor de su padre, al cual asesinaron, roba comida y secuestra mujeres para obtener dinero;Soltero;Perjudicada
Martín Ortúzar;Masculino;Antagonista;Los pincheira;Drama;TVN;2004;Poderoso heredero de tierras que está casado pero su esposa es secuestrada por Miguel;Casado;Poderoso
Beatriz González;Femenino;Protagonista;Brujas;Comedia dramática;T13;2005;Es humilde y trabaja como profesional del servicio. Se enamora del dueño que fallece y ella toma venganza;Viudo;Venganza
Cassandra García;Femenino;Antagonista;Brujas;Comedia dramática;T13;2005;Es la principal sospechosa del la muerte del dueño, busca siempre alcanzar mejor posición laboral;En relación;Poderoso
Leonor Amenábar Montt;Femenino;Protagonista;El señor de la querencia;Drama;TVN;2008;Esposa de Echenique, comienza a enamorarse de Manuel;Casado;Enamorada
Manuel Pradenas Leiva;Masculino;Protagonista;El señor de la querencia;Drama;TVN;2008;Es obrero del imperio Echenique, pero aun no conoce las relaciones que mantiene con la querencia;Soltero;Perjudicada
José Luis Echeñique Valdivieso;Masculino;Antagonista;El señor de la querencia;Drama;TVN;2008;Dueño del imperio, su esposa se enamora del obrero;Casado;Poderoso
Cristina Moreno;Femenino;Protagonista;Soltera otra vez;Comedia romántica;T13;2012;La deja su novio después de muchos años y comienza su nueva vida como soltera;Soltero;Celos
Nicole Cerutti ;Femenino;Antagonista;Soltera otra vez;Comedia romántica;T13;2012;La amante del novio, Cristina le tenía mucha envidia;Soltero;Celos
Pedro Armstrong;Masculino;Protagonista;Separados;Comedia romántica;TVN;2012;No le gusta su vida actual, decide separarse y comenzar de nuevo viviendo con puros hombres separados;Casado;Decisivo 
Carola Cavada;Femenino;Secundario;Separados;Comedia romántica;TVN;2012;Es exesposa del protagonista, actúa como la ex loca para poder conquistar nuevamente a Pedro;Soltero;Celos
Verónica Díaz;Femenino;Protagonista;Las vegas;Comedia romántica;T13;2013;Matriarca de la familia y del club nocturno, después de quedar viuda, debe salir adelante;Viudo;Poderoso
Álvaro Sandoval;Masculino;Antagonista;Las vegas;Comedia romántica;T13;2013;Manipula a la matriarca y se involucra en redes de narcotraficantes para poder controlar el club;Soltero;Poderoso
Violeta Padilla;Femenino;Secundario;Papá a la deriva;Comedia romántica;MEGA;2014;Se enamora de Bruno, pero tiene novio y están en distintas situaciones sociales;Soltero;Perjudicada
Bruno Montt;Masculino;Protagonista;Papá a la deriva;Comedia romántica;MEGA;2014;Capitán y padre de 3 hijos que se enamoró de Violeta;Soltero;Poderoso
Rosario Quevedo;Femenino;Secundario;Papá a la deriva;Comedia romántica;MEGA;2014;Quiere quedarse con Bruno, hace todo lo posible para enamorarlo;Soltero;Enamorada
María Elsa ;Femenino;Protagonista;Perdona nuestros pecados;Drama;MEGA;2018;Hija favorita de su poderoso padre, se enamora de Reynaldo sin saber la venganza que él buscaba;Soltero;Perjudicada
Padre Reynaldo Suárez;Masculino;Protagonista;Perdona nuestros pecados;Drama;MEGA;2018;Llega al pueblo para cobrar venganza del suicidio de su hermana. Se enamora de María Elsa;Soltero;Perjudicada
Armando Quiroga;Masculino;Antagonista;Perdona nuestros pecados;Drama;MEGA;2018;Violó a la hermana de Reynaldo y solo sabe una persona. Trata de mantener su vida como era;Soltero;Poderoso
Agustina Mackenna;Femenino;Protagonista;Verdades ocultas;Drama;MEGA;2022;Su madre la vende y con el tiempo se entera, entre enredos de poder y amor;Soltero;Poderoso
Rocío Verdugo;Femenino;Protagonista;Verdades ocultas;Drama;MEGA;2022;Es humilde, pero sufre muchos chantajes por parte de su hermana;Soltero;Perjudicada
Eliana Zapata;Femenino;Antagonista;Verdades ocultas;Drama;MEGA;2022;Quería cobrar venganza por la muerte de su hermano, estaba resentida con su pasado. Quiere matar al hijo de Rocío;En relación;Venganza
Leonardo San Martín;Masculino;Antagonista;Verdades ocultas;Drama;MEGA;2022;Su obsesión con las mujeres que amaba lo llevaron a matar a muchas personas ;Soltero;Decisivo 
Baltazar Rodríguez ;Masculino;Protagonista;La ley de Baltazar;Comedia dramática;MEGA;2023;Quiere volver a reconquistar a su viejo amor y vivir solo, pero sus hijos se interponen;Viudo;Perjudicada
Margarita Fuentes;Femenino;Secundario;La ley de Baltazar;Comedia dramática;MEGA;2023;Es monja, no puede estar con Baltazar;Soltero;Perjudicada
Cristina Moya;Femenino;Antagonista;La ley de Baltazar;Comedia dramática;MEGA;2023;Está casada con el hijo de Baltazar y quiere quedarse con la herencia;Casado;Poderoso
Hernán Olmedo;Masculino;Protagonista;Generación 98;Comedia dramática;MEGA;2023;Engaña a todos sus excompañeros del colegio para que inviertan en un resort falso;Soltero;Poderoso
Soledad García;Femenino;Protagonista;Como la vida misma;Comedia;MEGA;2024;Conoce a su pareja por Tinder y se atreven a convivir con sus hijos juntos como una familia;En relación;En paz
Alonso Valdés;Masculino;Protagonista;Como la vida misma;Comedia;MEGA;2024;Conoce a su pareja por Tinder y se atreven a convivir con sus hijos juntos como una familia;En relación;En paz
Octavia Werner;Femenino;Antagonista;Como la vida misma;Comedia;MEGA;2024;Quiere recuperar la custodia de su hijo, y tiene muchos conflictos con Alonso;Soltero;Celos
Raimundo Casablanca;Masculino;Protagonista;Los casablanca;Drama;MEGA;2025;Padre de familia con mucho dinero;Soltero;Poderoso
Iván Casablanca;Masculino;Antagonista;Los casablanca;Drama;MEGA;2025;Quiere robarle la fortuna a su hermano. Su esposa se enamora de Raimundo;Soltero;Poderoso
